X,Y,stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_t,parent_sta,stop_timez,wheelchair,icon_url
-79.807214,40.460368,"14188","14188",UNIVERSAL RD #1048,,40.460368000000003,-79.807214000000002,"01",,,,,"0",./0.png
-79.910932,40.455928,"17765","17765",FIFTH AVE RAMP + FIFTH AVE NS,,40.455928000000000,-79.910932000000003,"01",,,,,"0",./0.png
-80.088639,40.375889,"6269","6269",KANE BLVD + ELM,,40.375889000000001,-80.088639000000001,"01",,,,,"0",./0.png
-79.883797,40.396323,"11947","11947",WHITAKER ST + OAK,,40.396323000000002,-79.883797000000001,"01",,,,,"0",./0.png
-79.94785,40.465712,"22028","9181",PENN AVE + PEARL ST,,40.465712000000003,-79.947850000000003,"01",,,,,"0",./0.png
-79.821382,40.402503,"7830","7830",AIRBRAKE AVE + 9TH,,40.402503000000003,-79.821382000000000,"01",,,,,"0",./0.png
-79.938847,40.495537,"22217","18361",MAIN ST + 62ND ST  BRIDGE FS,,40.495536999999999,-79.938846999999996,"01",,,,,"0",./0.png
-79.992504,40.438923,"18161","18161",FIFTH AVE + DIAMOND ST,,40.438923000000003,-79.992503999999997,"01",,,,,"0",./0.png
-79.870829,40.455867,"16346","16346",EAST HILLS DR + #2340,,40.455866999999998,-79.870829000000001,"01",,,,,"0",./0.png
-80.000191,40.44294,"12626","12626",7TH ST + PENN AVE FS,,40.442940000000000,-80.000191000000001,"01",,,,,"0",./0.png
-79.712346,40.636058,"13465","13465",FREEPORT RD + SAXONBURG,,40.636057999999998,-79.712345999999997,"01",,,,,"0",./0.png
-79.985293,40.437633,"3245","3245",FORBES AVE + PRIDE ST (MERCY HOSPITAL),,40.437632999999998,-79.985292999999999,"01",,,,,"0",./0.png
-80.012114,40.47825,"819","819",PERRYSVILLE AVE + MARSHALL RD,,40.478250000000003,-80.012113999999997,"01",,,,,"0",./0.png
-79.877937,40.44088,"7707","7707",SWISSVALE AVE + STONER WAY,,40.440880000000000,-79.877937000000003,"01",,,,,"0",./0.png
-79.913391,40.465761,"8534","8534",LARIMER AVE + WINSLOW,,40.465761000000001,-79.913391000000004,"01",,,,,"0",./0.png
